lon,lat,subbasin,n_years_days,mhw_days_sen_per_decade,mhw_days_mk_p,mhw_days_mk_tau,mhw_days_sig_p05,n_years_intensity,intensity_sen_per_decade,intensity_mk_p,intensity_mk_tau,intensity_sig_p05
94.625,12.625,Central BoB,31,23.703703703703702,0.00010204646799660821,0.4924731182795699,True,25,-0.015110822510822502,0.5593049468922573,-0.08666666666666667,False
94.875,13.375,Central BoB,31,21.428571428571427,0.0007371345390934092,0.42795698924731185,True,26,-0.007629870129870184,0.7744111174350838,-0.043076923076923075,False
94.875,13.875,Central BoB,31,20.833333333333336,0.0016143177336489511,0.4,True,26,0.03666666666666644,0.15834511256712158,0.2,False
95.125,7.875,Southern BoB,31,12.5,0.0008557444018637561,0.421505376344086,True,25,0.01468253968253961,0.7260951618325295,0.05333333333333334,False
95.375,9.125,Southern BoB,31,16.0,0.00015040609629646262,0.47956989247311826,True,25,-0.02159406565656565,0.3382878549727657,-0.14,False
95.625,14.625,Central BoB,31,21.73913043478261,0.001987977833361132,0.3913978494623656,True,25,-0.018746865203761745,0.5911541483740381,-0.08,False
96.125,12.875,Central BoB,31,17.5,0.00037333062807487494,0.45161290322580644,True,27,-0.03621052631578946,0.15631053721479238,-0.19658119658119658,False
96.125,13.375,Central BoB,31,20.0,0.0005077097598138458,0.44086021505376344,True,26,0.006491228070175424,0.8947871042097533,0.021538461538461538,False
96.375,6.375,Southern BoB,31,10.4,0.0085156700035951,0.3333333333333333,True,26,-0.0654687499999998,0.013562240130496006,-0.3476923076923077,True
96.375,10.375,Central BoB,31,15.714285714285714,0.001142968579711301,0.4129032258064516,True,27,-0.03342857142857155,0.19618113273857274,-0.1794871794871795,False
96.875,11.625,Central BoB,31,19.0,0.0010821027531144889,0.4129032258064516,True,24,0.004596530920060343,0.9406815986652011,0.014492753623188406,False
97.125,7.875,Southern BoB,31,11.25,0.0031172413365343488,0.3741935483870968,True,25,-0.03528273809523809,0.23361300135229124,-0.17333333333333334,False
97.125,14.125,Central BoB,31,18.75,0.0005352543633496687,0.43870967741935485,True,26,0.03660869565217389,0.15834511256712158,0.2,False
97.375,13.375,Central BoB,31,20.555555555555554,0.0002185184197858181,0.4666666666666667,True,24,-0.014489417989418099,0.6024416860423838,-0.07971014492753623,False
97.625,9.125,Southern BoB,31,15.0,8.910478798762611e-05,0.4946236559139785,True,24,0.009571428571428824,0.7849697273207377,0.043478260869565216,False
98.125,10.125,Central BoB,31,14.705882352941178,8.891716390135862e-05,0.4967741935483871,True,27,-0.03794871794871787,0.4282542252410364,-0.1111111111111111,False
98.625,11.375,Central BoB,31,13.5,0.01583503055618607,0.3053763440860215,True,24,-0.04165740740740739,0.157405663974874,-0.21014492753623187,False
99.375,5.375,Southern BoB,31,10.0,0.00701567741340714,0.3419354838709677,True,26,-0.0833333333333334,0.07069881814594603,-0.2553846153846154,False
99.375,6.125,Southern BoB,31,2.3529411764705883,0.44386248690186036,0.0989247311827957,False,27,-0.04166666666666674,0.06657564401317706,-0.2535612535612536,False
